epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3936.19,1.85065,2.57963,1.40247,0.62215,0.6162,0.65666,0.29347,1.54357,8.72768,1.22022,0.000665679,0.000665679,0.000665679
2,6834.49,1.73784,1.37074,1.38306,0.66961,0.60362,0.64158,0.28352,1.5464,4.46678,1.24103,0.00120044,0.00120044,0.00120044
3,13728.9,1.68691,1.26744,1.37166,0.67928,0.70825,0.71122,0.33526,1.47266,4.14253,1.17266,0.00160321,0.00160321,0.00160321
